,age,gender,country,education,programming_lang_c,experience_ml,industry,company_size_g,salary_avg,role_group
6226,25-29,Woman,Portugal,Master’s degree,1,No experience,Shipping/Transportation,Large,17500.0,Data Engineer
6227,35-39,Man,India,Bachelor’s degree,1,Under 1 year,Other,Large,45000.0,Data Analyst
6229,35-39,Man,UK,Bachelor’s degree,2,2-3 years,Insurance/Risk Assessment,Large,175000.0,Data Scientist
6237,22-24,Man,India,Bachelor’s degree,2,No experience,Insurance/Risk Assessment,Large,500.0,Data Engineer
6238,22-24,Woman,India,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Medium,12500.0,Data Scientist
6239,40-44,Man,India,Bachelor’s degree,4,1-2 years,Computers/Technology,Large,27500.0,Data Scientist
6241,25-29,Woman,USA,Master’s degree,3,No experience,Academics/Education,Small,500.0,Data Engineer
6244,22-24,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Small,22500.0,Data Engineer
6245,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Large,8750.0,Data Analyst
6247,30-34,Man,USA,Master’s degree,4,1-2 years,Academics/Education,Medium,35000.0,Data Analyst
6250,55-59,Woman,UK,Master’s degree,3,2-3 years,Medical/Pharmaceutical,Large,35000.0,Data Analyst
6251,22-24,Woman,Poland,Master’s degree,2,Under 1 year,Accounting/Finance,Medium,1500.0,Data Engineer
6252,35-39,Man,Switzerland,Master’s degree,1,Under 1 year,Online Business/Internet-based Sales,Large,137500.0,Data Analyst
6254,40-44,Man,UK,Some college,3,1-2 years,Shipping/Transportation,Large,2500.0,Data Analyst
6256,25-29,Man,India,Bachelor’s degree,1,No experience,Other,Large,8750.0,Other
6258,40-44,Woman,USA,Doctoral degree,1,10-20 years,Computers/Technology,Small,112500.0,Data Scientist
6259,30-34,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
6260,40-44,Man,Czech Republic,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,35000.0,Data Analyst
6261,40-44,Man,India,Master’s degree,2,1-2 years,Government/Public Service,Large,22500.0,Data Analyst
6263,50-54,Man,Russia,Master’s degree,2,1-2 years,Government/Public Service,Large,8750.0,Data Scientist
6267,35-39,Man,India,Bachelor’s degree,1,Under 1 year,Manufacturing/Fabrication,Large,27500.0,Other
6268,35-39,Woman,Netherlands,Doctoral degree,3,10-20 years,Academics/Education,Small,6250.0,Data Scientist
6272,35-39,Woman,USA,Bachelor’s degree,1,No experience,Shipping/Transportation,Large,55000.0,Other
6273,35-39,Man,Spain,Master’s degree,1,1-2 years,Energy/Mining,Large,65000.0,Data Engineer
6274,30-34,Man,USA,Master’s degree,1,No experience,Medical/Pharmaceutical,Large,75000.0,Data Analyst
6275,30-34,Man,Russia,Master’s degree,3,Under 1 year,Retail/Sales,Large,55000.0,Data Analyst
6277,22-24,Man,Poland,Bachelor’s degree,2,Under 1 year,Online Service/Internet-based Services,Small,500.0,Data Engineer
6278,25-29,Man,India,Master’s degree,4,Under 1 year,Insurance/Risk Assessment,Large,8750.0,Data Analyst
6280,25-29,Woman,USA,Doctoral degree,3,Under 1 year,Academics/Education,Large,22500.0,Data Scientist
6283,35-39,Man,India,Master’s degree,4,1-2 years,Computers/Technology,Medium,4500.0,Data Engineer
6286,30-34,Man,USA,Bachelor’s degree,2,3-4 years,Energy/Mining,Large,175000.0,Other
6287,30-34,Man,Russia,Master’s degree,2,1-2 years,Manufacturing/Fabrication,Medium,1500.0,Data Analyst
6289,25-29,Woman,USA,Master’s degree,1,Under 1 year,Academics/Education,Small,12500.0,Other
6290,22-24,Woman,USA,Bachelor’s degree,3,No experience,Medical/Pharmaceutical,Small,45000.0,Data Scientist
6291,30-34,Woman,Russia,Master’s degree,2,No experience,Other,Large,8750.0,Other
6293,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Other,Large,500.0,Data Scientist
6294,50-54,Man,USA,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,95000.0,Data Engineer
6296,25-29,Man,India,Bachelor’s degree,3,Under 1 year,Computers/Technology,Large,6250.0,Data Engineer
6298,18-21,Man,Ukraine,Bachelor’s degree,2,Under 1 year,Energy/Mining,Small,500.0,Data Scientist
6299,35-39,Man,India,Professional doctorate,2,1-2 years,Manufacturing/Fabrication,Large,12500.0,Data Analyst
6301,25-29,Other,India,Master’s degree,1,Under 1 year,Computers/Technology,Large,500.0,Data Engineer
6302,22-24,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,4500.0,Data Engineer
6304,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
6306,40-44,Man,USA,Bachelor’s degree,3,1-2 years,Other,Large,175000.0,Data Engineer
6308,22-24,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,1500.0,Data Engineer
6310,35-39,Woman,India,Doctoral degree,3,3-4 years,Academics/Education,Large,8750.0,Data Scientist
6311,35-39,Man,India,Bachelor’s degree,1,No experience,Accounting/Finance,Large,17500.0,Other
6313,30-34,Man,India,Master’s degree,1,2-3 years,Other,Small,2500.0,Data Scientist
6316,30-34,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Large,12500.0,Data Analyst
6317,40-44,Man,India,Bachelor’s degree,1,No experience,Hospitality/Entertainment/Sports,Small,4500.0,Data Analyst
6319,35-39,Man,India,Doctoral degree,2,1-2 years,Academics/Education,Large,500.0,Data Scientist
6324,45-49,Man,USA,Master’s degree,1,20 or more years,Government/Public Service,Large,175000.0,Data Scientist
6325,40-44,Man,USA,Bachelor’s degree,4,Under 1 year,Accounting/Finance,Large,175000.0,Data Engineer
6327,45-49,Man,Czech Republic,Master’s degree,3,No experience,Computers/Technology,Large,95000.0,Data Analyst
6330,25-29,Man,India,Bachelor’s degree,2,4-5 years,Shipping/Transportation,Large,27500.0,Data Scientist
6332,22-24,Woman,India,Bachelor’s degree,3,Under 1 year,Academics/Education,Large,27500.0,Data Analyst
6333,18-21,Man,Italy,Bachelor’s degree,3,1-2 years,Computers/Technology,Small,8750.0,Data Scientist
6334,25-29,Man,India,Bachelor’s degree,4,2-3 years,Computers/Technology,Small,500.0,Data Scientist
6336,40-44,Man,USA,Master’s degree,2,1-2 years,Accounting/Finance,Medium,137500.0,Data Engineer
6338,30-34,Man,India,Master’s degree,2,2-3 years,Shipping/Transportation,Medium,75000.0,Data Scientist
6340,22-24,Man,India,Master’s degree,4,No experience,Academics/Education,Small,500.0,Data Engineer
6341,25-29,Man,USA,Bachelor’s degree,2,1-2 years,Academics/Education,Large,45000.0,Other
6342,35-39,Man,USA,Bachelor’s degree,1,Under 1 year,Accounting/Finance,Large,112500.0,Data Engineer
6344,45-49,Woman,USA,Master’s degree,1,Under 1 year,Retail/Sales,Small,500.0,Data Engineer
6346,30-34,Man,Italy,Master’s degree,3,1-2 years,Online Business/Internet-based Sales,Small,500.0,Other
6353,25-29,Man,France,Master’s degree,3,3-4 years,Online Service/Internet-based Services,Small,55000.0,Data Scientist
6355,25-29,Man,India,Bachelor’s degree,1,2-3 years,Medical/Pharmaceutical,Large,35000.0,Data Scientist
6356,25-29,Woman,India,Master’s degree,3,No experience,Computers/Technology,Large,35000.0,Data Engineer
6359,40-44,Woman,India,Master’s degree,1,Under 1 year,Medical/Pharmaceutical,Large,35000.0,Data Analyst
6360,25-29,Man,India,Master’s degree,4,1-2 years,Computers/Technology,Large,55000.0,Data Engineer
6361,30-34,Woman,Ukraine,Master’s degree,3,1-2 years,Computers/Technology,Large,3500.0,Data Engineer
6362,22-24,Man,India,Master’s degree,2,No experience,Government/Public Service,Large,6250.0,Data Engineer
6363,25-29,Man,India,Bachelor’s degree,2,Under 1 year,Accounting/Finance,Large,8750.0,Data Analyst
6364,25-29,Man,India,Bachelor’s degree,1,1-2 years,Computers/Technology,Large,1500.0,Data Scientist
6365,35-39,Man,India,Master’s degree,3,No experience,Accounting/Finance,Large,2500.0,Data Analyst
6366,30-34,Woman,USA,Doctoral degree,3,1-2 years,Academics/Education,Large,95000.0,Other
6368,25-29,Man,India,Master’s degree,4,Under 1 year,Online Service/Internet-based Services,Medium,500.0,Data Engineer
6370,35-39,Man,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Large,45000.0,Data Engineer
6373,18-21,Man,India,Master’s degree,1,1-2 years,Computers/Technology,Medium,500.0,Data Engineer
6374,22-24,Man,India,Bachelor’s degree,4,Under 1 year,Energy/Mining,Large,12500.0,Data Scientist
6377,30-34,Man,Germany,Master’s degree,1,1-2 years,Academics/Education,Medium,500.0,Data Engineer
6379,55-59,Woman,USA,Master’s degree,1,No experience,Government/Public Service,Medium,75000.0,Data Analyst
6382,45-49,Man,UK,Professional doctorate,2,3-4 years,Academics/Education,Large,22500.0,Data Scientist
6386,35-39,Man,Germany,Master’s degree,4,Under 1 year,Other,Large,65000.0,Other
6387,30-34,Man,USA,Master’s degree,3,Under 1 year,Medical/Pharmaceutical,Large,85000.0,Data Analyst
6397,22-24,Man,India,Bachelor’s degree,2,2-3 years,Accounting/Finance,Small,12500.0,Data Scientist
6398,50-54,Man,USA,Master’s degree,4,2-3 years,Computers/Technology,Small,95000.0,Data Engineer
6400,18-21,Man,Ukraine,Some college,3,1-2 years,Online Business/Internet-based Sales,Small,500.0,Data Engineer
6401,25-29,Woman,UK,Master’s degree,1,Under 1 year,Government/Public Service,Large,55000.0,Data Analyst
6405,40-44,Man,Germany,Master’s degree,3,No experience,Accounting/Finance,Large,75000.0,Data Engineer
6406,40-44,Man,USA,Master’s degree,1,No experience,Insurance/Risk Assessment,Large,137500.0,Other
6407,30-34,Woman,India,Doctoral degree,3,1-2 years,Government/Public Service,Large,12500.0,Data Engineer
6408,40-44,Man,Sweden,Master’s degree,3,1-2 years,Marketing/CRM,Medium,55000.0,Data Analyst
6410,25-29,Man,India,Bachelor’s degree,1,2-3 years,Computers/Technology,Large,4500.0,Data Scientist
6418,45-49,Man,USA,Master’s degree,1,1-2 years,Online Business/Internet-based Sales,Small,45000.0,Other
6423,25-29,Man,Germany,Master’s degree,4,Under 1 year,Academics/Education,Small,500.0,Data Engineer
6425,22-24,Woman,Romania,Master’s degree,3,2-3 years,Computers/Technology,Large,35000.0,Data Scientist
6428,22-24,Man,India,Master’s degree,2,Under 1 year,Manufacturing/Fabrication,Large,500.0,Data Scientist
6432,18-21,Woman,India,Master’s degree,3,3-4 years,Accounting/Finance,Small,500.0,Data Engineer
6433,35-39,Man,Spain,Doctoral degree,1,4-5 years,Accounting/Finance,Large,55000.0,Data Scientist
6434,25-29,Woman,India,Bachelor’s degree,1,Under 1 year,Computers/Technology,Small,500.0,Data Scientist
6435,30-34,Man,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
6437,30-34,Man,USA,Some college,3,Under 1 year,Computers/Technology,Large,65000.0,Data Engineer
6439,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Academics/Education,Small,500.0,Data Engineer
6442,25-29,Man,USA,Master’s degree,3,3-4 years,Computers/Technology,Large,137500.0,Data Engineer
6447,22-24,Man,Italy,Doctoral degree,3,1-2 years,Academics/Education,Large,1500.0,Data Engineer
6448,45-49,Man,USA,Master’s degree,2,1-2 years,Computers/Technology,Large,175000.0,Other
6449,25-29,Man,India,Master’s degree,1,No experience,Computers/Technology,Large,6250.0,Data Engineer
6451,30-34,Man,USA,Bachelor’s degree,4,1-2 years,Manufacturing/Fabrication,Large,75000.0,Data Scientist
6452,40-44,Man,France,Master’s degree,1,5-10 years,Medical/Pharmaceutical,Large,137500.0,Other
6454,30-34,Man,Russia,Master’s degree,1,Under 1 year,Manufacturing/Fabrication,Small,1500.0,Data Engineer
6456,22-24,Man,India,Some college,2,1-2 years,Accounting/Finance,Large,500.0,Data Scientist
6457,50-54,Woman,Spain,Bachelor’s degree,3,1-2 years,Academics/Education,Large,3500.0,Data Scientist
6458,45-49,Man,USA,Master’s degree,3,Under 1 year,Computers/Technology,Small,45000.0,Data Analyst
6459,22-24,Man,India,Bachelor’s degree,3,2-3 years,Accounting/Finance,Large,1500.0,Data Engineer
6460,25-29,Man,India,Master’s degree,4,1-2 years,Computers/Technology,Large,12500.0,Data Engineer
6464,55-59,Man,USA,Master’s degree,4,5-10 years,Broadcasting/Communications,Large,175000.0,Data Scientist
6465,18-21,Man,India,Bachelor’s degree,3,Under 1 year,Other,Small,500.0,Data Engineer
6470,25-29,Man,UK,Master’s degree,3,2-3 years,Manufacturing/Fabrication,Medium,65000.0,Data Engineer
6474,25-29,Man,USA,Bachelor’s degree,2,4-5 years,Shipping/Transportation,Large,112500.0,Data Scientist
6476,45-49,Man,USA,Doctoral degree,4,Under 1 year,Academics/Education,Large,75000.0,Other
6477,30-34,Man,Russia,Master’s degree,3,Under 1 year,Energy/Mining,Large,17500.0,Other
6479,22-24,Woman,India,Master’s degree,1,1-2 years,Energy/Mining,Small,500.0,Data Engineer
6480,35-39,Woman,India,Master’s degree,1,10-20 years,Computers/Technology,Small,500.0,Data Scientist
6482,35-39,Woman,Switzerland,Bachelor’s degree,3,Under 1 year,Accounting/Finance,Large,6250.0,Data Analyst
6483,22-24,Man,USA,Master’s degree,1,No experience,Online Business/Internet-based Sales,Large,1500.0,Data Analyst
6487,30-34,Man,India,Master’s degree,2,4-5 years,Academics/Education,Large,8750.0,Data Analyst
6489,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Large,22500.0,Data Engineer
6490,18-21,Woman,India,Bachelor’s degree,3,No experience,Other,Small,500.0,Data Scientist
6491,45-49,Man,Italy,Some college,2,Under 1 year,Computers/Technology,Large,27500.0,Data Engineer
6494,22-24,Man,India,Master’s degree,3,Under 1 year,Other,Small,500.0,Data Analyst
6498,18-21,Man,India,Bachelor’s degree,2,Under 1 year,Computers/Technology,Small,500.0,Data Engineer
6499,35-39,Man,India,Bachelor’s degree,2,3-4 years,Computers/Technology,Medium,85000.0,Data Scientist
6503,25-29,Man,India,Master’s degree,2,5-10 years,Other,Medium,35000.0,Data Scientist
6505,45-49,Woman,USA,Some college,1,1-2 years,Retail/Sales,Medium,65000.0,Data Analyst
6507,25-29,Man,India,Bachelor’s degree,2,1-2 years,Computers/Technology,Large,4500.0,Data Scientist
6508,25-29,Woman,India,Master’s degree,4,No experience,Computers/Technology,Large,12500.0,Data Engineer
6512,22-24,Man,Italy,Some college,4,1-2 years,Online Service/Internet-based Services,Small,500.0,Data Analyst
6513,25-29,Man,India,Master’s degree,4,Under 1 year,Computers/Technology,Large,8750.0,Data Engineer
6517,35-39,Man,Poland,Master’s degree,3,5-10 years,Marketing/CRM,Medium,45000.0,Data Scientist
6520,35-39,Woman,France,Doctoral degree,1,10-20 years,Computers/Technology,Small,65000.0,Data Scientist
6521,18-21,Man,UK,Master’s degree,3,Under 1 year,Other,Small,500.0,Other
6523,40-44,Man,Spain,Doctoral degree,3,10-20 years,Computers/Technology,Small,500.0,Other
6525,22-24,Man,Greece,Master’s degree,1,1-2 years,Academics/Education,Small,500.0,Data Scientist
6526,30-34,Man,USA,Bachelor’s degree,3,Under 1 year,Manufacturing/Fabrication,Small,55000.0,Other
6528,55-59,Man,Poland,Master’s degree,4,Under 1 year,Academics/Education,Large,55000.0,Data Engineer
6533,40-44,Man,India,Master’s degree,3,Under 1 year,Computers/Technology,Large,22500.0,Data Analyst
6536,25-29,Other,India,Bachelor’s degree,4,Under 1 year,Other,Small,22500.0,Data Engineer
6537,25-29,Man,Portugal,Doctoral degree,2,4-5 years,Computers/Technology,Large,55000.0,Data Scientist
6538,22-24,Man,Portugal,Master’s degree,2,Under 1 year,Military/Security/Defense,Large,12500.0,Data Analyst
6539,35-39,Man,UK,Master’s degree,2,1-2 years,Medical/Pharmaceutical,Large,45000.0,Data Scientist
6540,25-29,Man,Greece,Master’s degree,2,Under 1 year,Broadcasting/Communications,Large,22500.0,Data Analyst
6541,40-44,Man,Greece,Master’s degree,2,Under 1 year,Computers/Technology,Large,17500.0,Data Analyst
6542,30-34,Woman,USA,Master’s degree,3,1-2 years,Medical/Pharmaceutical,Large,137500.0,Data Engineer
6548,30-34,Man,India,Master’s degree,2,5-10 years,Medical/Pharmaceutical,Large,1500.0,Data Analyst
6550,25-29,Man,USA,Bachelor’s degree,2,1-2 years,Accounting/Finance,Large,75000.0,Data Analyst
6551,25-29,Woman,India,Bachelor’s degree,3,1-2 years,Manufacturing/Fabrication,Large,12500.0,Other
6553,30-34,Man,Portugal,Master’s degree,1,No experience,Computers/Technology,Medium,27500.0,Data Engineer
6554,22-24,Man,USA,Master’s degree,3,1-2 years,Shipping/Transportation,Large,85000.0,Data Scientist
6555,55-59,Woman,USA,Master’s degree,2,2-3 years,Academics/Education,Large,65000.0,Other
6556,30-34,Man,India,Bachelor’s degree,2,Under 1 year,Insurance/Risk Assessment,Medium,8750.0,Data Engineer
6557,55-59,Man,USA,Bachelor’s degree,1,Under 1 year,Government/Public Service,Large,45000.0,Data Analyst
6560,55-59,Man,Sweden,Master’s degree,1,Under 1 year,Computers/Technology,Small,500.0,Other
6566,35-39,Man,India,Master’s degree,2,2-3 years,Accounting/Finance,Large,45000.0,Data Analyst
6567,25-29,Man,India,Master’s degree,1,Under 1 year,Computers/Technology,Large,1500.0,Data Scientist
6568,25-29,Man,Netherlands,Doctoral degree,4,3-4 years,Accounting/Finance,Large,175000.0,Other
6569,35-39,Man,USA,Doctoral degree,2,5-10 years,Academics/Education,Large,175000.0,Other
6570,22-24,Woman,India,Master’s degree,2,1-2 years,Other,Large,4500.0,Data Analyst
6578,25-29,Man,India,Master’s degree,1,2-3 years,Computers/Technology,Medium,4500.0,Data Engineer
6579,40-44,Man,USA,Doctoral degree,1,4-5 years,Academics/Education,Large,65000.0,Data Scientist
6581,22-24,Man,India,Doctoral degree,4,2-3 years,Computers/Technology,Large,1500.0,Data Engineer
6582,22-24,Man,Russia,Master’s degree,3,1-2 years,Computers/Technology,Medium,8750.0,Data Engineer
6584,18-21,Woman,India,Master’s degree,2,Under 1 year,Computers/Technology,Medium,500.0,Data Scientist
6587,45-49,Man,India,Doctoral degree,4,Under 1 year,Academics/Education,Small,1500.0,Data Scientist
6591,30-34,Man,Germany,Doctoral degree,3,5-10 years,Academics/Education,Large,55000.0,Data Scientist
6595,30-34,Man,USA,Master’s degree,4,5-10 years,Government/Public Service,Large,137500.0,Data Scientist
6597,30-34,Man,USA,Doctoral degree,3,5-10 years,Online Service/Internet-based Services,Large,112500.0,Data Scientist
6598,25-29,Man,India,Master’s degree,4,5-10 years,Accounting/Finance,Large,45000.0,Data Scientist
6601,25-29,Woman,India,Some college,2,Under 1 year,Academics/Education,Small,500.0,Data Analyst
