,age,gender,country,education,role,experience_prog,programming_lang_c,experience_ml,industry,company_size,team_size,salary,country_group,company_size_g,team_size_g,role_group,salary_avg,salary_group
16737,22-24,Man,India,Some college,Developer Relations/Advocacy,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,Data Engineer,500.0,less than 10k
16738,22-24,Man,Thailand,Master’s degree,Data Analyst,1-3 years,2,1-2 years,Insurance/Risk Assessment,0-49 employees,3-4,10000-14999,Other,Small,Small,Data Analyst,12500.0,between 10k and 30k
16739,30-34,Man,India,Bachelor’s degree,Other,5-10 years,1,Under 1 year,Broadcasting/Communications,50-249 employees,0,25000-29999,India,Medium,No team,Other,27500.0,between 10k and 30k
16740,25-29,Man,Canada,Bachelor’s degree,Data Analyst,1-3 years,3,1-2 years,Other,50-249 employees,0,0-999,Other,Medium,No team,Data Analyst,500.0,less than 10k
16741,25-29,Man,Russia,Bachelor’s degree,Product Manager,1-3 years,1,2-3 years,Accounting/Finance,0-49 employees,3-4,nan,Europe,Small,Small,Data Analyst,39176.716266486306,more than 125k
16743,22-24,Man,Other,Master’s degree,Data Engineer,3-5 years,2,2-3 years,Computers/Technology,50-249 employees,3-4,1000-1999,Other,Medium,Small,Data Engineer,1500.0,less than 10k
16747,35-39,Woman,Peru,Master’s degree,Data Analyst,3-5 years,2,Under 1 year,Insurance/Risk Assessment,"1000-9,999 employees",10-14,1000-1999,Other,Large,Medium,Data Analyst,1500.0,less than 10k
16748,40-44,Man,Bangladesh,Bachelor’s degree,Other,< 1 years,3,Under 1 year,Government/Public Service,"1000-9,999 employees",3-4,10000-14999,Other,Large,Small,Other,12500.0,between 10k and 30k
16749,30-34,Man,Indonesia,Master’s degree,Software Engineer,10-20 years,5,4-5 years,Retail/Sales,"10,000 or more employees",20+,60000-69999,Other,Large,Large,Data Engineer,65000.0,between 50k and 80k
16753,25-29,Man,USA,Master’s degree,Data Analyst,3-5 years,5,No experience,Computers/Technology,0-49 employees,3-4,50000-59999,USA,Small,Small,Data Analyst,55000.0,between 50k and 80k
16754,25-29,Man,USA,Doctoral degree,Data Scientist,1-3 years,4,3-4 years,Online Service/Internet-based Services,"10,000 or more employees",10-14,20000-24999,USA,Large,Medium,Data Scientist,22500.0,between 10k and 30k
16756,35-39,Man,Nigeria,Master’s degree,Other,5-10 years,2,1-2 years,Energy/Mining,"1000-9,999 employees",5-9,100000-124999,Other,Large,Small,Other,112500.0,between 80k and 125k
16758,55-59,Woman,Iraq,Doctoral degree,Machine Learning Engineer,20+ years,4,10-20 years,Academics/Education,50-249 employees,3-4,2000-2999,Other,Medium,Small,Data Engineer,2500.0,less than 10k
16760,25-29,Woman,USA,Master’s degree,Data Analyst,1-3 years,3,Under 1 year,Non-profit/Service,"1000-9,999 employees",10-14,70000-79999,USA,Large,Medium,Data Analyst,75000.0,between 50k and 80k
16762,45-49,Man,Mexico,Doctoral degree,Research Scientist,1-3 years,2,Under 1 year,Academics/Education,"1000-9,999 employees",1-2,15000-19999,Other,Large,Small,Data Scientist,17500.0,between 10k and 30k
16763,50-54,Man,USA,Master’s degree,Research Scientist,20+ years,3,10-20 years,Computers/Technology,0-49 employees,1-2,200000-249999,USA,Small,Small,Data Scientist,225000.0,more than 125k
16764,25-29,Woman,USA,Master’s degree,Program/Project Manager,1-3 years,2,No experience,Government/Public Service,"10,000 or more employees",0,40000-49999,USA,Large,No team,Data Analyst,45000.0,between 30k and 50k
16768,35-39,Man,Japan,Bachelor’s degree,Other,5-10 years,2,1-2 years,Computers/Technology,"10,000 or more employees",0,70000-79999,Other,Large,No team,Other,75000.0,between 50k and 80k
16769,25-29,Man,Czech Republic,Master’s degree,Software Engineer,5-10 years,5,5-10 years,Online Service/Internet-based Services,50-249 employees,20+,125000-149999,Europe,Medium,Large,Data Engineer,137500.0,more than 125k
16770,25-29,Man,Indonesia,Bachelor’s degree,Other,3-5 years,1,Under 1 year,Manufacturing/Fabrication,"1000-9,999 employees",0,15000-19999,Other,Large,No team,Other,17500.0,between 10k and 30k
16772,35-39,Man,Hong Kong,Doctoral degree,Other,10-20 years,1,5-10 years,Accounting/Finance,"10,000 or more employees",5-9,200000-249999,Other,Large,Small,Other,225000.0,more than 125k
16774,25-29,Man,Brazil,Master’s degree,Data Engineer,5-10 years,2,Under 1 year,Accounting/Finance,"1000-9,999 employees",0,0-999,Other,Large,No team,Data Engineer,500.0,less than 10k
16775,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,2-3 years,Hospitality/Entertainment/Sports,0-49 employees,3-4,0-999,India,Small,Small,Data Scientist,500.0,less than 10k
16777,40-44,Man,USA,Some college,Program/Project Manager,3-5 years,1,2-3 years,Online Service/Internet-based Services,"10,000 or more employees",20+,200000-249999,USA,Large,Large,Data Analyst,225000.0,more than 125k
16778,35-39,Man,Spain,Doctoral degree,Machine Learning Engineer,10-20 years,5,3-4 years,Online Service/Internet-based Services,"1000-9,999 employees",3-4,2000-2999,Europe,Large,Small,Data Engineer,2500.0,less than 10k
16780,45-49,Woman,Indonesia,Doctoral degree,Business Analyst,< 1 years,1,Under 1 year,Government/Public Service,"10,000 or more employees",20+,40000-49999,Other,Large,Large,Data Analyst,45000.0,between 30k and 50k
16782,25-29,Woman,Brazil,Some college,Software Engineer,5-10 years,4,2-3 years,Computers/Technology,0-49 employees,1-2,200000-249999,Other,Small,Small,Data Engineer,225000.0,more than 125k
16784,35-39,Woman,USA,Master’s degree,Business Analyst,1-3 years,4,2-3 years,Academics/Education,"10,000 or more employees",5-9,70000-79999,USA,Large,Small,Data Analyst,75000.0,between 50k and 80k
16785,35-39,Man,Russia,Master’s degree,Business Analyst,< 1 years,2,Under 1 year,Accounting/Finance,0-49 employees,1-2,20000-24999,Europe,Small,Small,Data Analyst,22500.0,between 10k and 30k
16786,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,1,Under 1 year,Computers/Technology,50-249 employees,0,3000-3999,India,Medium,No team,Data Engineer,3500.0,less than 10k
16788,40-44,Man,India,Doctoral degree,Data Scientist,1-3 years,2,2-3 years,Insurance/Risk Assessment,250-999 employees,20+,15000-19999,India,Large,Large,Data Scientist,17500.0,between 10k and 30k
16790,30-34,Woman,Other,Doctoral degree,Data Analyst,< 1 years,1,1-2 years,Government/Public Service,0-49 employees,0,0-999,Other,Small,No team,Data Analyst,500.0,less than 10k
16794,25-29,Man,Spain,Bachelor’s degree,Data Engineer,1-3 years,5,Under 1 year,Non-profit/Service,0-49 employees,0,0-999,Europe,Small,No team,Data Engineer,500.0,less than 10k
16795,25-29,Man,USA,Master’s degree,Data Scientist,5-10 years,3,3-4 years,Medical/Pharmaceutical,"10,000 or more employees",20+,125000-149999,USA,Large,Large,Data Scientist,137500.0,more than 125k
16798,35-39,Man,India,Master’s degree,Program/Project Manager,20+ years,4,Under 1 year,Computers/Technology,0-49 employees,1-2,1000-1999,India,Small,Small,Data Analyst,1500.0,less than 10k
16799,40-44,Man,UK,Master’s degree,Data Analyst,3-5 years,2,Under 1 year,Government/Public Service,"10,000 or more employees",10-14,60000-69999,Europe,Large,Medium,Data Analyst,65000.0,between 50k and 80k
16801,25-29,Woman,India,Master’s degree,Machine Learning Engineer,1-3 years,3,1-2 years,Insurance/Risk Assessment,50-249 employees,20+,20000-24999,India,Medium,Large,Data Engineer,22500.0,between 10k and 30k
16803,30-34,Woman,USA,Doctoral degree,Data Scientist,10-20 years,3,5-10 years,Computers/Technology,250-999 employees,15-19,150000-199999,USA,Large,Medium,Data Scientist,175000.0,more than 125k
16808,30-34,Man,India,Bachelor’s degree,Other,3-5 years,1,Under 1 year,Computers/Technology,"1000-9,999 employees",10-14,15000-19999,India,Large,Medium,Other,17500.0,between 10k and 30k
16810,50-54,Man,Italy,Master’s degree,Other,5-10 years,2,3-4 years,Accounting/Finance,"1000-9,999 employees",20+,50000-59999,Europe,Large,Large,Other,55000.0,between 50k and 80k
16813,18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,< 1 years,3,Under 1 year,Computers/Technology,0-49 employees,3-4,1000-1999,Other,Small,Small,Data Scientist,1500.0,less than 10k
16816,30-34,Man,Israel,Bachelor’s degree,Data Analyst,3-5 years,3,1-2 years,Insurance/Risk Assessment,50-249 employees,3-4,90000-99999,Other,Medium,Small,Data Analyst,95000.0,between 80k and 125k
16817,30-34,Man,Argentina,Master’s degree,Data Analyst,3-5 years,2,2-3 years,Online Business/Internet-based Sales,0-49 employees,1-2,15000-19999,Other,Small,Small,Data Analyst,17500.0,between 10k and 30k
16820,22-24,Man,Other,Some college,Machine Learning Engineer,< 1 years,2,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,Other,Small,Small,Data Engineer,500.0,less than 10k
16823,25-29,Woman,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,Data Engineer,500.0,less than 10k
16824,45-49,Man,Greece,Master’s degree,Software Engineer,20+ years,1,3-4 years,Computers/Technology,50-249 employees,5-9,90000-99999,Europe,Medium,Small,Data Engineer,95000.0,between 80k and 125k
16825,35-39,Man,Italy,Doctoral degree,Other,10-20 years,2,10-20 years,Manufacturing/Fabrication,"10,000 or more employees",5-9,100000-124999,Europe,Large,Small,Other,112500.0,between 80k and 125k
16829,18-21,Man,China,Some college,Machine Learning Engineer,1-3 years,3,No experience,Academics/Education,0-49 employees,0,0-999,Other,Small,No team,Data Engineer,500.0,less than 10k
16831,35-39,Woman,Turkey,Master’s degree,Data Scientist,3-5 years,3,2-3 years,Academics/Education,"1000-9,999 employees",5-9,0-999,Other,Large,Small,Data Scientist,500.0,less than 10k
16836,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,2,1-2 years,Hospitality/Entertainment/Sports,50-249 employees,1-2,50000-59999,Europe,Medium,Small,Data Scientist,55000.0,between 50k and 80k
16839,35-39,Man,Colombia,Master’s degree,Business Analyst,1-3 years,2,1-2 years,Accounting/Finance,"10,000 or more employees",20+,2000-2999,Other,Large,Large,Data Analyst,2500.0,less than 10k
16841,45-49,Man,South Korea,High school,Data Scientist,20+ years,4,2-3 years,Accounting/Finance,0-49 employees,1-2,70000-79999,Other,Small,Small,Data Scientist,75000.0,between 50k and 80k
16847,40-44,Man,Switzerland,Doctoral degree,Statistician,20+ years,3,10-20 years,Medical/Pharmaceutical,"10,000 or more employees",20+,250000-299999,Europe,Large,Large,Data Scientist,275000.0,more than 125k
16848,35-39,Man,USA,Doctoral degree,Research Scientist,10-20 years,4,4-5 years,Computers/Technology,"10,000 or more employees",20+,150000-199999,USA,Large,Large,Data Scientist,175000.0,more than 125k
16853,22-24,Man,Nigeria,Master’s degree,Data Scientist,< 1 years,1,1-2 years,Computers/Technology,250-999 employees,20+,2000-2999,Other,Large,Large,Data Scientist,2500.0,less than 10k
16855,45-49,Other,Other,Master’s degree,Other,20+ years,5,2-3 years,Medical/Pharmaceutical,"10,000 or more employees",20+,300000-499999,Other,Large,Large,Other,400000.0,more than 125k
16859,45-49,Man,Germany,Master’s degree,Data Engineer,20+ years,3,5-10 years,Computers/Technology,"1000-9,999 employees",20+,125000-149999,Europe,Large,Large,Data Engineer,137500.0,more than 125k
16863,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,1,Under 1 year,Academics/Education,0-49 employees,0,0-999,India,Small,No team,Data Scientist,500.0,less than 10k
16866,22-24,Man,Bangladesh,Doctoral degree,Data Scientist,3-5 years,3,1-2 years,Computers/Technology,50-249 employees,5-9,7500-9999,Other,Medium,Small,Data Scientist,8750.0,less than 10k
16869,35-39,Man,Other,Master’s degree,Data Scientist,10-20 years,3,5-10 years,Retail/Sales,"10,000 or more employees",20+,150000-199999,Other,Large,Large,Data Scientist,175000.0,more than 125k
16870,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,Under 1 year,Other,0-49 employees,0,0-999,India,Small,No team,Data Analyst,500.0,less than 10k
16871,25-29,Man,India,I prefer not to answer,Other,3-5 years,5,Under 1 year,Manufacturing/Fabrication,"10,000 or more employees",20+,15000-19999,India,Large,Large,Other,17500.0,between 10k and 30k
16872,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,2,1-2 years,Computers/Technology,250-999 employees,10-14,30000-39999,India,Large,Medium,Data Scientist,35000.0,between 30k and 50k
16873,45-49,Man,Canada,Master’s degree,Software Engineer,5-10 years,5,1-2 years,Computers/Technology,"1000-9,999 employees",0,70000-79999,Other,Large,No team,Data Engineer,75000.0,between 50k and 80k
16874,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,3,2-3 years,Online Service/Internet-based Services,"1000-9,999 employees",20+,10000-14999,India,Large,Large,Data Analyst,12500.0,between 10k and 30k
16876,22-24,Man,Other,Master’s degree,Data Scientist,1-3 years,7,No experience,Computers/Technology,"1000-9,999 employees",0,5000-7499,Other,Large,No team,Data Scientist,6250.0,less than 10k
16877,30-34,Man,Other,Doctoral degree,Data Scientist,5-10 years,2,2-3 years,Hospitality/Entertainment/Sports,0-49 employees,1-2,40000-49999,Other,Small,Small,Data Scientist,45000.0,between 30k and 50k
16879,40-44,Man,India,Master’s degree,Data Scientist,5-10 years,4,3-4 years,Medical/Pharmaceutical,"10,000 or more employees",20+,25000-29999,India,Large,Large,Data Scientist,27500.0,between 10k and 30k
16880,45-49,Man,Colombia,Bachelor’s degree,Software Engineer,20+ years,5,Under 1 year,Insurance/Risk Assessment,50-249 employees,1-2,1000-1999,Other,Medium,Small,Data Engineer,1500.0,less than 10k
16881,25-29,Man,Thailand,Master’s degree,Machine Learning Engineer,5-10 years,7,2-3 years,Computers/Technology,0-49 employees,1-2,20000-24999,Other,Small,Small,Data Engineer,22500.0,between 10k and 30k
16882,35-39,Man,Chile,Doctoral degree,Research Scientist,1-3 years,3,1-2 years,Medical/Pharmaceutical,250-999 employees,0,0-999,Other,Large,No team,Data Scientist,500.0,less than 10k
16884,22-24,Man,Spain,Doctoral degree,Research Scientist,1-3 years,2,2-3 years,Medical/Pharmaceutical,"1000-9,999 employees",3-4,1000-1999,Europe,Large,Small,Data Scientist,1500.0,less than 10k
16885,35-39,Man,USA,Master’s degree,Data Analyst,5-10 years,4,1-2 years,Medical/Pharmaceutical,"1000-9,999 employees",1-2,80000-89999,USA,Large,Small,Data Analyst,85000.0,between 80k and 125k
16887,25-29,Man,Italy,Professional doctorate,Research Scientist,5-10 years,2,3-4 years,Academics/Education,0-49 employees,1-2,20000-24999,Europe,Small,Small,Data Scientist,22500.0,between 10k and 30k
16889,50-54,Man,Australia,Master’s degree,Program/Project Manager,20+ years,3,2-3 years,Government/Public Service,250-999 employees,5-9,125000-149999,Other,Large,Small,Data Analyst,137500.0,more than 125k
16892,50-54,Man,Brazil,Master’s degree,Research Scientist,1-3 years,1,2-3 years,Computers/Technology,250-999 employees,1-2,0-999,Other,Large,Small,Data Scientist,500.0,less than 10k
16894,25-29,Man,India,Bachelor’s degree,Business Analyst,< 1 years,1,Under 1 year,Computers/Technology,0-49 employees,1-2,0-999,India,Small,Small,Data Analyst,500.0,less than 10k
16895,30-34,Man,India,Bachelor’s degree,Other,10-20 years,6,3-4 years,Computers/Technology,"1000-9,999 employees",20+,nan,India,Large,Large,Other,39176.716266486306,more than 125k
16897,25-29,Man,Brazil,Bachelor’s degree,Software Engineer,10-20 years,3,5-10 years,Computers/Technology,"1000-9,999 employees",20+,10000-14999,Other,Large,Large,Data Engineer,12500.0,between 10k and 30k
16898,40-44,Man,Austria,Doctoral degree,Other,10-20 years,4,10-20 years,Computers/Technology,250-999 employees,20+,70000-79999,Europe,Large,Large,Other,75000.0,between 50k and 80k
16899,25-29,Man,Thailand,Some college,Machine Learning Engineer,3-5 years,1,3-4 years,Medical/Pharmaceutical,0-49 employees,1-2,10000-14999,Other,Small,Small,Data Engineer,12500.0,between 10k and 30k
16900,35-39,Man,India,Master’s degree,Data Scientist,5-10 years,5,4-5 years,Broadcasting/Communications,"1000-9,999 employees",3-4,15000-19999,India,Large,Small,Data Scientist,17500.0,between 10k and 30k
16901,18-21,Woman,India,Master’s degree,Data Analyst,< 1 years,2,Under 1 year,Marketing/CRM,0-49 employees,20+,0-999,India,Small,Large,Data Analyst,500.0,less than 10k
16904,30-34,Woman,Germany,Master’s degree,Research Scientist,5-10 years,2,3-4 years,Academics/Education,"1000-9,999 employees",20+,60000-69999,Europe,Large,Large,Data Scientist,65000.0,between 50k and 80k
16906,35-39,Man,France,Master’s degree,Machine Learning Engineer,10-20 years,9,4-5 years,Computers/Technology,"1000-9,999 employees",3-4,90000-99999,Europe,Large,Small,Data Engineer,95000.0,between 80k and 125k
16907,55-59,Man,Peru,Master’s degree,Other,1-3 years,2,Under 1 year,Academics/Education,250-999 employees,5-9,30000-39999,Other,Large,Small,Other,35000.0,between 30k and 50k
16910,22-24,Woman,Other,Bachelor’s degree,Business Analyst,3-5 years,2,1-2 years,Academics/Education,"1000-9,999 employees",3-4,0-999,Other,Large,Small,Data Analyst,500.0,less than 10k
16912,50-54,Man,USA,Master’s degree,Program/Project Manager,20+ years,4,5-10 years,Online Service/Internet-based Services,0-49 employees,5-9,250000-299999,USA,Small,Small,Data Analyst,275000.0,more than 125k
16913,40-44,Man,Ghana,Bachelor’s degree,Machine Learning Engineer,5-10 years,5,4-5 years,Computers/Technology,0-49 employees,0,70000-79999,Other,Small,No team,Data Engineer,75000.0,between 50k and 80k
